"","Nombre","Edad","Altura","Peso","Nacionalidad","Equipo","Posición","Partidos","Minutos por partido","Goles","Asistencias","Targetas","Puntos","Puntos local","Puntos visitante","Media total","Media local","Media visitante","Valor de Comunio","Valor de mercado"
"316","Óscar Rodríguez","22","1.74","68","España","sevilla","centrocampistas","14",25,"0","0","1","52","24",28,"3.7","3.4","4.0","1 250 000","11"
"317","Aidoo","25","1.84","80","Ghana","celta","defensas","20",47,"0","0","3","52","18",34,"3.3","3.0","3.4","710 000","7"
"318","Rubén Peña","29","1.70","65","España","villarreal","defensas","14",64,"1","0","1","51","31",20,"3.9","4.4","3.3","1 080 000","4"
"319","Manu García","34","1.82","74","España","alaves","centrocampistas","21",45,"0","0","7","51","19",32,"2.4","1.7","3.2","570 000","840K €"
"321","Marcos Mauro","30","1.87","79","Argentina","cadiz","defensas","18",74,"1","0","3","51","39",12,"3.0","3.9","1.7","450 000","970K €"
"322","Iván Villar","23","1.83","76","España","celta","porteros","12",81,"0","0","1","50","19",31,"4.2","3.8","4.4","1 270 000","1"
"323","Andrés Fernández","34","1.90","82","España","huesca","porteros","14",90,"0","0","0","50","24",26,"3.6","3.4","3.7","790 000","655K €"
"324","Luis Pérez","26","1.73","68","España","valladolid","defensas","18",62,"0","0","1","50","24",26,"3.1","3.0","3.3","520 000","985K €"
"325","Michel Herrero","32","1.80","73","España","valladolid","centrocampistas","14",44,"2","0","2","50","28",22,"3.8","4.7","3.1","430 000","1"
"326","Diego Lainez","20","1.68","58","México","betis","centrocampistas","14",41,"0","1","2","49","29",20,"3.8","3.6","4.0","1 180 000","7"
"328","Sergio León","32","1.78","73","España","levante","delanteros","23",28,"1","0","1","49","20",29,"2.1","1.7","2.6","700 000","2"
"330","Iván Alejo","26","1.84","77","España","cadiz","centrocampistas","16",28,"1","1","3","49","29",20,"3.1","3.2","2.9","530 000","1"
"331","Pedro López","37","1.74","72","España","huesca","defensas","14",56,"0","1","2","49","29",20,"3.8","4.8","2.9","460 000","105K €"
"333","Nacho Martínez","32","1.74","69","España","valladolid","defensas","21",81,"0","1","4","49","27",22,"2.3","2.1","2.8","410 000","2"
"334","Marcelo","32","1.74","75","Brasil","real-madrid","defensas","10",71,"0","2","2","48","39",9,"4.8","5.6","3.0","1 370 000","10"
"335","Héctor Herrera","30","1.80","74","México","atletico","centrocampistas","11",42,"0","0","2","48","24",24,"4.4","4.8","4.0","960 000","8"
"336","Eden Hazard","30","1.73","76","Bélgica","real-madrid","delanteros","9",44,"2","1","0","47","21",26,"5.2","4.2","6.5","5 830 000","43"
"339","Marc Bartra","30","1.83","73","España","betis","defensas","14",89,"0","0","3","46","32",14,"3.3","4.6","2.0","1 270 000","10"
"340","Diego González","26","1.84","86","España","elche","defensas","14",59,"0","0","4","46","22",24,"3.5","3.7","3.4","850 000","865K €"
"341","Balenziaga","33","1.76","75","España","athletic","defensas","15",65,"0","1","0","45","23",22,"3.2","3.3","3.1","560 000","1"
"342","Juanmi Jiménez","27","1.69","63","España","betis","delanteros","14",37,"2","0","1","44","23",21,"3.4","3.8","3.0","1 450 000","2"
"343","Sergi Gómez","29","1.85","77","España","sevilla","defensas","9",80,"0","0","2","44","22",22,"4.9","5.5","4.4","720 000","3"
